timestamp,sender,message,contact
2022-10-09 21:08:00,Ayush,Tu offend hogyi,WhatsApp Chat with sehersha
2022-10-09 21:08:00,Ayush,Aadil chutiya hai,WhatsApp Chat with sehersha
2022-10-09 21:09:00,Ayush,*,WhatsApp Chat with sehersha
2022-10-09 21:09:00,Ayush,u r,WhatsApp Chat with sehersha
2022-10-09 21:09:00,Ayush,When ur offended?,WhatsApp Chat with sehersha
2022-10-09 21:09:00,Ayush,yea yeaaa,WhatsApp Chat with sehersha
2022-10-09 21:10:00,Ayush,Rightt,WhatsApp Chat with sehersha
2022-10-09 21:11:00,Ayush,I wanted to be there with you guys,WhatsApp Chat with sehersha
2022-10-09 21:14:00,Ayush,Hmm aadil only,WhatsApp Chat with sehersha
2022-10-09 21:18:00,Ayush,We'll move to US together,WhatsApp Chat with sehersha
2022-10-09 21:18:00,Ayush,Tere gharke samne wali,WhatsApp Chat with sehersha
2022-10-09 21:18:00,Ayush,Vo building to banne de,WhatsApp Chat with sehersha
2022-10-09 21:19:00,Ayush,I'll kill you if you dont,WhatsApp Chat with sehersha
2022-10-09 21:19:00,Ayush,So excited you are wow,WhatsApp Chat with sehersha
2022-10-09 21:37:00,Ayush,What was the red flag about,WhatsApp Chat with sehersha
2022-10-09 23:02:00,Ayush,WEIRDOS,WhatsApp Chat with sehersha
2022-10-09 23:02:00,Ayush,THEY WERE LITERALLY SAYING,WhatsApp Chat with sehersha
2022-10-09 23:02:00,Ayush,I WANT TO TALK TO HER,WhatsApp Chat with sehersha
2022-10-09 23:05:00,Ayush,Exactly,WhatsApp Chat with sehersha
2022-10-09 23:06:00,Ayush,You deleted this message,WhatsApp Chat with sehersha
2022-10-09 23:06:00,Ayush,He said OKAY,WhatsApp Chat with sehersha
2022-10-09 23:06:00,Ayush,In that weird voice,WhatsApp Chat with sehersha
2022-10-09 23:15:00,Ayush,Idk,WhatsApp Chat with sehersha
2022-10-09 23:15:00,Ayush,<Media omitted>,WhatsApp Chat with sehersha
2022-10-09 23:19:00,Ayush,OMGGGGG,WhatsApp Chat with sehersha
2022-10-09 23:20:00,Ayush,I AM FUCKING CONTROLLING MY LAUGHTER,WhatsApp Chat with sehersha
2022-10-09 23:20:00,Ayush,IN THE ELEVATOR,WhatsApp Chat with sehersha
2022-10-09 23:22:00,Ayush,It is so weirdly funny,WhatsApp Chat with sehersha
2022-10-09 23:22:00,Ayush,"Tu toh niche rehti hai, elevator mai time spend nahi kar sakti",WhatsApp Chat with sehersha
2022-10-09 23:23:00,Ayush,And I just burst out of laughter,WhatsApp Chat with sehersha
2022-10-09 23:23:00,Ayush,There were 2 aunties in the elevator,WhatsApp Chat with sehersha
2022-10-09 23:25:00,Ayush,Very,WhatsApp Chat with sehersha
2022-10-09 23:25:00,Ayush,Nanded city mai gande quality ka moon hai,WhatsApp Chat with sehersha
2022-10-09 23:25:00,Ayush,Vaha pe kaisa hai,WhatsApp Chat with sehersha
2022-10-09 23:26:00,Ayush,Mirror mai dekhke bola,WhatsApp Chat with sehersha
2022-10-09 23:26:00,Ayush,Meko adrenaline rush horay,WhatsApp Chat with sehersha
2022-10-09 23:30:00,Ayush,overrated,WhatsApp Chat with sehersha
2022-10-09 23:30:00,Ayush,No,WhatsApp Chat with sehersha
2022-10-09 23:31:00,Ayush,Mwahh,WhatsApp Chat with sehersha
2022-10-09 23:32:00,Ayush,I love you,WhatsApp Chat with sehersha
2022-10-09 23:32:00,Ayush,Nothing,WhatsApp Chat with sehersha
2022-10-09 23:33:00,Ayush,CAN YOU STOP WITH THESE STICKERS,WhatsApp Chat with sehersha
2022-10-09 23:35:00,Ayush,Are you okay,WhatsApp Chat with sehersha
2022-10-09 23:35:00,Ayush,Sure??,WhatsApp Chat with sehersha
2022-10-09 23:36:00,Ayush,Pls tell me you have registered for SAT,WhatsApp Chat with sehersha
2022-10-09 23:36:00,Ayush,Okay,WhatsApp Chat with sehersha
2022-10-09 23:53:00,Ayush,Byee bby,WhatsApp Chat with sehersha
2022-10-09 23:54:00,Ayush,I'm not even gonna tell u abhi,WhatsApp Chat with sehersha
2022-10-09 23:55:00,Ayush,Giving up on the idea of you giving SAT,WhatsApp Chat with sehersha
2022-10-09 23:55:00,Ayush,And moving to US together,WhatsApp Chat with sehersha
2022-10-09 23:56:00,Ayush,What,WhatsApp Chat with sehersha
2022-10-09 23:56:00,Ayush,What,WhatsApp Chat with sehersha
2022-10-09 23:56:00,Ayush,what,WhatsApp Chat with sehersha
2022-10-09 23:57:00,Ayush,Whatttt,WhatsApp Chat with sehersha
2022-10-09 23:57:00,Ayush,Jaldi,WhatsApp Chat with sehersha
2022-10-09 23:57:00,Ayush,Bolll,WhatsApp Chat with sehersha
2022-10-09 23:57:00,Ayush,Pch,WhatsApp Chat with sehersha
2022-10-09 23:57:00,Ayush,SEHERSHA,WhatsApp Chat with sehersha
2022-10-09 23:57:00,Ayush,Whatttt,WhatsApp Chat with sehersha
2022-10-09 23:57:00,Ayush,?,WhatsApp Chat with sehersha
2022-10-09 23:58:00,Ayush,.,WhatsApp Chat with sehersha
2022-10-09 23:58:00,Ayush,Ye kya tha,WhatsApp Chat with sehersha
2022-10-09 23:58:00,Ayush,Yes please keep me confused for the rest of the night,WhatsApp Chat with sehersha
2022-10-09 23:59:00,Ayush,soja,WhatsApp Chat with sehersha
