timestamp,sender,message,contact
2022-10-02 19:15:00,sehersha,ily,WhatsApp Chat with sehersha
2022-10-02 19:15:00,Ayush,Invite,WhatsApp Chat with sehersha
2022-10-02 19:15:00,Ayush,Spot,WhatsApp Chat with sehersha
2022-10-02 19:15:00,sehersha,spot,WhatsApp Chat with sehersha
2022-10-02 19:15:00,Ayush,SHUT UP,WhatsApp Chat with sehersha
2022-10-02 19:15:00,Ayush,Hua to,WhatsApp Chat with sehersha
2022-10-02 19:16:00,Ayush,Aur vaha pe sab hone vale the like hamsini vidhi and all,WhatsApp Chat with sehersha
2022-10-02 19:16:00,Ayush,Sehersha Krishna Vedantika Rich Krish Soham Aadil You yaan Viddhi Hamsini,WhatsApp Chat with sehersha
2022-10-02 19:16:00,Ayush,Toh I said no,WhatsApp Chat with sehersha
2022-10-02 19:23:00,sehersha,who she,WhatsApp Chat with sehersha
2022-10-02 19:23:00,sehersha,oh,WhatsApp Chat with sehersha
2022-10-02 19:23:00,sehersha,okay,WhatsApp Chat with sehersha
2022-10-02 19:23:00,sehersha,vaishnavi,WhatsApp Chat with sehersha
2022-10-02 19:23:00,sehersha,theek hai it's your birthday kuch bhi chalega,WhatsApp Chat with sehersha
2022-10-02 19:24:00,sehersha,itna mat soch,WhatsApp Chat with sehersha
2022-10-02 19:25:00,Ayush,Haaaa,WhatsApp Chat with sehersha
2022-10-02 19:30:00,sehersha,ok,WhatsApp Chat with sehersha
2022-10-02 19:52:00,Ayush,ok,WhatsApp Chat with sehersha
2022-10-03 22:25:00,Ayush,Kya,WhatsApp Chat with sehersha
2022-10-03 22:27:00,sehersha,the meme,WhatsApp Chat with sehersha
2022-10-03 22:27:00,Ayush,For what,WhatsApp Chat with sehersha
2022-10-03 22:27:00,sehersha,i don't know,WhatsApp Chat with sehersha
2022-10-03 22:27:00,sehersha,i felt bad,WhatsApp Chat with sehersha
2022-10-03 22:28:00,Ayush,How sensitive,WhatsApp Chat with sehersha
2022-10-03 22:35:00,Ayush,Chill karrr,WhatsApp Chat with sehersha
2022-10-03 22:37:00,sehersha,haan haan ofcourse,WhatsApp Chat with sehersha
2022-10-03 22:42:00,Ayush,So smart you are,WhatsApp Chat with sehersha
2022-10-03 22:42:00,Ayush,Kon batayega poocha to,WhatsApp Chat with sehersha
